Site,Date.Time.EST,SpConductivity
HBF,10/11/2012 14:00,11.74
HBF,10/11/2012 14:15,11.73
HBF,10/11/2012 14:30,11.73
HBF,10/11/2012 14:45,11.71
HBF,10/11/2012 15:00,11.71
HBF,10/11/2012 15:15,11.74
HBF,10/11/2012 15:30,11.75
HBF,10/11/2012 15:45,11.77
HBF,10/11/2012 16:00,11.75
HBF,10/11/2012 16:15,11.82
HBF,10/11/2012 16:30,11.75
HBF,10/11/2012 16:45,11.77
HBF,10/11/2012 17:00,11.75
HBF,10/11/2012 17:15,11.77
HBF,10/11/2012 17:30,11.79
HBF,10/11/2012 17:45,11.77
HBF,10/11/2012 18:00,11.74
HBF,10/11/2012 18:15,11.76
HBF,10/11/2012 18:30,11.75
HBF,10/11/2012 18:45,11.76
HBF,10/11/2012 19:00,11.74
HBF,10/11/2012 19:15,11.75
HBF,10/11/2012 19:30,11.74
HBF,10/11/2012 19:45,11.76
HBF,10/11/2012 20:00,11.75
HBF,10/11/2012 20:15,11.76
HBF,10/11/2012 20:30,11.73
HBF,10/11/2012 20:45,11.74
HBF,10/11/2012 21:00,11.75
HBF,10/11/2012 21:15,11.74
HBF,10/11/2012 21:30,11.74
HBF,10/11/2012 21:45,11.74
HBF,10/11/2012 22:00,11.73
HBF,10/11/2012 22:15,11.76
HBF,10/11/2012 22:30,11.74
HBF,10/11/2012 22:45,11.73
HBF,10/11/2012 23:00,11.75
HBF,10/11/2012 23:15,11.76
HBF,10/11/2012 23:30,11.76
HBF,10/11/2012 23:45,11.75
HBF,10/12/2012 0:00,11.74
HBF,10/12/2012 0:15,11.74
HBF,10/12/2012 0:30,11.75
HBF,10/12/2012 0:45,11.75
HBF,10/12/2012 1:00,11.77
HBF,10/12/2012 1:15,11.75
HBF,10/12/2012 1:30,11.74
HBF,10/12/2012 1:45,11.78
HBF,10/12/2012 2:00,11.77
HBF,10/12/2012 2:15,11.78
HBF,10/12/2012 2:30,11.8
HBF,10/12/2012 2:45,11.76
HBF,10/12/2012 3:00,11.79
HBF,10/12/2012 3:15,11.76
HBF,10/12/2012 3:30,11.79
HBF,10/12/2012 3:45,11.77
HBF,10/12/2012 4:00,11.78
HBF,10/12/2012 4:15,11.77
HBF,10/12/2012 4:30,11.75
HBF,10/12/2012 4:45,11.78
HBF,10/12/2012 5:00,11.82
HBF,10/12/2012 5:15,11.84
HBF,10/12/2012 5:30,11.87
HBF,10/12/2012 5:45,11.87
HBF,10/12/2012 6:00,11.86
HBF,10/12/2012 6:15,11.86
HBF,10/12/2012 6:30,11.85
HBF,10/12/2012 6:45,11.85
HBF,10/12/2012 7:00,11.84
HBF,10/12/2012 7:15,11.85
HBF,10/12/2012 7:30,11.83
HBF,10/12/2012 7:45,11.83
HBF,10/12/2012 8:00,11.82
HBF,10/12/2012 8:15,11.8
HBF,10/12/2012 8:30,11.83
HBF,10/12/2012 8:45,11.82
HBF,10/12/2012 9:00,11.82
HBF,10/12/2012 9:15,11.79
HBF,10/12/2012 9:30,11.79
HBF,10/12/2012 9:45,11.78
HBF,10/12/2012 10:00,11.81
HBF,10/12/2012 10:15,11.78
HBF,10/12/2012 10:30,11.77
HBF,10/12/2012 10:45,11.75
HBF,10/12/2012 11:00,11.75
HBF,10/12/2012 11:15,11.76
HBF,10/12/2012 11:30,11.77
HBF,10/12/2012 11:45,11.78
HBF,10/12/2012 12:00,11.77
HBF,10/12/2012 12:15,11.79
HBF,10/12/2012 12:30,11.74
HBF,10/12/2012 12:45,11.76
HBF,10/12/2012 13:00,11.76
HBF,10/12/2012 13:15,11.76
HBF,10/12/2012 13:30,11.74
HBF,10/12/2012 13:45,11.76
HBF,10/12/2012 14:00,11.77
HBF,10/12/2012 14:15,11.76
HBF,10/12/2012 14:30,11.76
HBF,10/12/2012 14:45,11.74
HBF,10/12/2012 15:00,11.73
HBF,10/12/2012 15:15,11.74
HBF,10/12/2012 15:30,11.74
HBF,10/12/2012 15:45,11.73
HBF,10/12/2012 16:00,11.74
HBF,10/12/2012 16:15,11.75
HBF,10/12/2012 16:30,11.77
HBF,10/12/2012 16:45,11.77
HBF,10/12/2012 17:00,11.77
HBF,10/12/2012 17:15,11.74
HBF,10/12/2012 17:30,11.75
HBF,10/12/2012 17:45,11.76
HBF,10/12/2012 18:00,11.75
HBF,10/12/2012 18:15,11.75
HBF,10/12/2012 18:30,11.76
HBF,10/12/2012 18:45,11.75
HBF,10/12/2012 19:00,11.76
HBF,10/12/2012 19:15,11.76
HBF,10/12/2012 19:30,11.76
HBF,10/12/2012 19:45,11.76
HBF,10/12/2012 20:00,11.78
HBF,10/12/2012 20:15,11.76
HBF,10/12/2012 20:30,11.78
HBF,10/12/2012 20:45,11.79
HBF,10/12/2012 21:00,11.76
HBF,10/12/2012 21:15,11.77
HBF,10/12/2012 21:30,11.77
HBF,10/12/2012 21:45,11.76
HBF,10/12/2012 22:00,11.77
HBF,10/12/2012 22:15,11.77
HBF,10/12/2012 22:30,11.8
HBF,10/12/2012 22:45,11.77
HBF,10/12/2012 23:00,11.82
HBF,10/12/2012 23:15,11.77
HBF,10/12/2012 23:30,11.77
HBF,10/12/2012 23:45,11.77
HBF,10/13/2012 0:00,11.78
HBF,10/13/2012 0:15,11.8
HBF,10/13/2012 0:30,11.82
HBF,10/13/2012 0:45,11.77
HBF,10/13/2012 1:00,11.78
HBF,10/13/2012 1:15,11.79
HBF,10/13/2012 1:30,11.79
HBF,10/13/2012 1:45,11.81
HBF,10/13/2012 2:00,11.81
HBF,10/13/2012 2:15,11.82
HBF,10/13/2012 2:30,11.82
HBF,10/13/2012 2:45,11.79
HBF,10/13/2012 3:00,11.81
HBF,10/13/2012 3:15,11.8
HBF,10/13/2012 3:30,11.81
HBF,10/13/2012 3:45,11.79
HBF,10/13/2012 4:00,11.82
HBF,10/13/2012 4:15,11.84
HBF,10/13/2012 4:30,11.83
HBF,10/13/2012 4:45,11.81
HBF,10/13/2012 5:00,11.82
HBF,10/13/2012 5:15,11.82
HBF,10/13/2012 5:30,11.83
HBF,10/13/2012 5:45,11.84
HBF,10/13/2012 6:00,11.81
HBF,10/13/2012 6:15,11.82
HBF,10/13/2012 6:30,11.83
HBF,10/13/2012 6:45,11.8
HBF,10/13/2012 7:00,11.8
HBF,10/13/2012 7:15,11.82
HBF,10/13/2012 7:30,11.82
HBF,10/13/2012 7:45,11.84
HBF,10/13/2012 8:00,11.82
HBF,10/13/2012 8:15,11.87
HBF,10/13/2012 8:30,11.85
HBF,10/13/2012 8:45,11.84
HBF,10/13/2012 9:00,11.87
HBF,10/13/2012 9:15,11.87
HBF,10/13/2012 9:30,11.89
HBF,10/13/2012 9:45,11.85
HBF,10/13/2012 10:00,11.85
HBF,10/13/2012 10:15,11.88
HBF,10/13/2012 10:30,11.91
HBF,10/13/2012 10:45,11.85
HBF,10/13/2012 11:00,11.86
HBF,10/13/2012 11:15,11.85
HBF,10/13/2012 11:30,11.91
HBF,10/13/2012 11:45,11.88
HBF,10/13/2012 12:00,11.89
HBF,10/13/2012 12:15,11.91
HBF,10/13/2012 12:30,11.93
HBF,10/13/2012 12:45,11.92
HBF,10/13/2012 13:00,11.95
HBF,10/13/2012 13:15,11.9
HBF,10/13/2012 13:30,11.9
HBF,10/13/2012 13:45,11.92
HBF,10/13/2012 14:00,11.94
HBF,10/13/2012 14:15,11.93
HBF,10/13/2012 14:30,11.92
HBF,10/13/2012 14:45,11.93
HBF,10/13/2012 15:00,11.95
HBF,10/13/2012 15:15,11.94
HBF,10/13/2012 15:30,11.94
HBF,10/13/2012 15:45,11.95
HBF,10/13/2012 16:00,11.96
HBF,10/13/2012 16:15,11.92
HBF,10/13/2012 16:30,11.91
HBF,10/13/2012 16:45,11.95
HBF,10/13/2012 17:00,11.95
HBF,10/13/2012 17:15,11.94
HBF,10/13/2012 17:30,11.94
HBF,10/13/2012 17:45,11.94
HBF,10/13/2012 18:00,11.93
HBF,10/13/2012 18:15,11.95
HBF,10/13/2012 18:30,11.94
HBF,10/13/2012 18:45,11.94
HBF,10/13/2012 19:00,11.96
HBF,10/13/2012 19:15,11.95
HBF,10/13/2012 19:30,11.95
HBF,10/13/2012 19:45,11.99
HBF,10/13/2012 20:00,11.95
HBF,10/13/2012 20:15,11.96
HBF,10/13/2012 20:30,11.98
HBF,10/13/2012 20:45,11.96
HBF,10/13/2012 21:00,11.98
HBF,10/13/2012 21:15,11.97
HBF,10/13/2012 21:30,11.97
HBF,10/13/2012 21:45,11.95
HBF,10/13/2012 22:00,11.97
HBF,10/13/2012 22:15,11.96
HBF,10/13/2012 22:30,11.95
HBF,10/13/2012 22:45,11.96
HBF,10/13/2012 23:00,11.96
HBF,10/13/2012 23:15,11.96
HBF,10/13/2012 23:30,11.97
HBF,10/13/2012 23:45,11.96
HBF,10/14/2012 0:00,12
HBF,10/14/2012 0:15,11.96
HBF,10/14/2012 0:30,11.98
HBF,10/14/2012 0:45,11.98
HBF,10/14/2012 1:00,11.98
HBF,10/14/2012 1:15,12.01
HBF,10/14/2012 1:30,12.02
HBF,10/14/2012 1:45,11.92
HBF,10/14/2012 2:00,11.89
HBF,10/14/2012 2:15,11.88
HBF,10/14/2012 2:30,11.87
HBF,10/14/2012 2:45,11.91
HBF,10/14/2012 3:00,11.92
HBF,10/14/2012 3:15,12.01
HBF,10/14/2012 3:30,12
HBF,10/14/2012 3:45,12.04
HBF,10/14/2012 4:00,12.08
HBF,10/14/2012 4:15,12.1
HBF,10/14/2012 4:30,12.11
HBF,10/14/2012 4:45,12.14
HBF,10/14/2012 5:00,12.12
HBF,10/14/2012 5:15,12.17
HBF,10/14/2012 5:30,12.2
HBF,10/14/2012 5:45,12.21
HBF,10/14/2012 6:00,12.2
HBF,10/14/2012 6:15,12.21
HBF,10/14/2012 6:30,12.21
HBF,10/14/2012 6:45,12.19
HBF,10/14/2012 7:00,12.16
HBF,10/14/2012 7:15,12.14
HBF,10/14/2012 7:30,12.13
HBF,10/14/2012 7:45,12.12
HBF,10/14/2012 8:00,12.07
HBF,10/14/2012 8:15,12.09
HBF,10/14/2012 8:30,12.03
HBF,10/14/2012 8:45,12.01
HBF,10/14/2012 9:00,12.01
HBF,10/14/2012 9:15,12.01
HBF,10/14/2012 9:30,11.98
HBF,10/14/2012 9:45,11.98
HBF,10/14/2012 10:00,11.96
HBF,10/14/2012 10:15,11.94
HBF,10/14/2012 10:30,11.91
HBF,10/14/2012 10:45,11.92
HBF,10/14/2012 11:00,11.89
HBF,10/14/2012 11:15,11.88
HBF,10/14/2012 11:30,11.86
HBF,10/14/2012 11:45,11.82
HBF,10/14/2012 12:00,11.82
HBF,10/14/2012 12:15,11.82
HBF,10/14/2012 12:30,11.84
HBF,10/14/2012 12:45,11.83
HBF,10/14/2012 13:00,11.85
HBF,10/14/2012 13:15,11.84
HBF,10/14/2012 13:30,11.83
HBF,10/14/2012 13:45,11.79
HBF,10/14/2012 14:00,11.78
HBF,10/14/2012 14:15,11.77
HBF,10/14/2012 14:30,11.81
HBF,10/14/2012 14:45,11.78
HBF,10/14/2012 15:00,11.77
HBF,10/14/2012 15:15,11.76
HBF,10/14/2012 15:30,11.75
HBF,10/14/2012 15:45,11.73
HBF,10/14/2012 16:00,11.72
HBF,10/14/2012 16:15,11.72
HBF,10/14/2012 16:30,11.76
HBF,10/14/2012 16:45,11.72
HBF,10/14/2012 17:00,11.74
