Site,Date.Time.EST,TempC
HBF,10/11/2012 14:00,9.07
HBF,10/11/2012 14:15,9.04
HBF,10/11/2012 14:30,9.03
HBF,10/11/2012 14:45,9.01
HBF,10/11/2012 15:00,8.99
HBF,10/11/2012 15:15,8.96
HBF,10/11/2012 15:30,8.94
HBF,10/11/2012 15:45,8.93
HBF,10/11/2012 16:00,8.91
HBF,10/11/2012 16:15,8.89
HBF,10/11/2012 16:30,8.85
HBF,10/11/2012 16:45,8.82
HBF,10/11/2012 17:00,8.8
HBF,10/11/2012 17:15,8.77
HBF,10/11/2012 17:30,8.75
HBF,10/11/2012 17:45,8.72
HBF,10/11/2012 18:00,8.7
HBF,10/11/2012 18:15,8.68
HBF,10/11/2012 18:30,8.67
HBF,10/11/2012 18:45,8.66
HBF,10/11/2012 19:00,8.65
HBF,10/11/2012 19:15,8.63
HBF,10/11/2012 19:30,8.6
HBF,10/11/2012 19:45,8.58
HBF,10/11/2012 20:00,8.56
HBF,10/11/2012 20:15,8.54
HBF,10/11/2012 20:30,8.53
HBF,10/11/2012 20:45,8.52
HBF,10/11/2012 21:00,8.52
HBF,10/11/2012 21:15,8.51
HBF,10/11/2012 21:30,8.49
HBF,10/11/2012 21:45,8.49
HBF,10/11/2012 22:00,8.48
HBF,10/11/2012 22:15,8.47
HBF,10/11/2012 22:30,8.47
HBF,10/11/2012 22:45,8.47
HBF,10/11/2012 23:00,8.46
HBF,10/11/2012 23:15,8.45
HBF,10/11/2012 23:30,8.45
HBF,10/11/2012 23:45,8.45
HBF,10/12/2012 0:00,8.44
HBF,10/12/2012 0:15,8.44
HBF,10/12/2012 0:30,8.44
HBF,10/12/2012 0:45,8.44
HBF,10/12/2012 1:00,8.44
HBF,10/12/2012 1:15,8.43
HBF,10/12/2012 1:30,8.44
HBF,10/12/2012 1:45,8.44
HBF,10/12/2012 2:00,8.45
HBF,10/12/2012 2:15,8.46
HBF,10/12/2012 2:30,8.46
HBF,10/12/2012 2:45,8.47
HBF,10/12/2012 3:00,8.47
HBF,10/12/2012 3:15,8.48
HBF,10/12/2012 3:30,8.49
HBF,10/12/2012 3:45,8.48
HBF,10/12/2012 4:00,8.47
HBF,10/12/2012 4:15,8.46
HBF,10/12/2012 4:30,8.44
HBF,10/12/2012 4:45,8.41
HBF,10/12/2012 5:00,8.39
HBF,10/12/2012 5:15,8.35
HBF,10/12/2012 5:30,8.33
HBF,10/12/2012 5:45,8.31
HBF,10/12/2012 6:00,8.29
HBF,10/12/2012 6:15,8.25
HBF,10/12/2012 6:30,8.2
HBF,10/12/2012 6:45,8.15
HBF,10/12/2012 7:00,8.13
HBF,10/12/2012 7:15,8.12
HBF,10/12/2012 7:30,8.11
HBF,10/12/2012 7:45,8.11
HBF,10/12/2012 8:00,8.1
HBF,10/12/2012 8:15,8.1
HBF,10/12/2012 8:30,8.1
HBF,10/12/2012 8:45,8.09
HBF,10/12/2012 9:00,8.09
HBF,10/12/2012 9:15,8.1
HBF,10/12/2012 9:30,8.12
HBF,10/12/2012 9:45,8.14
HBF,10/12/2012 10:00,8.14
HBF,10/12/2012 10:15,8.13
HBF,10/12/2012 10:30,8.13
HBF,10/12/2012 10:45,8.15
HBF,10/12/2012 11:00,8.17
HBF,10/12/2012 11:15,8.17
HBF,10/12/2012 11:30,8.18
HBF,10/12/2012 11:45,8.2
HBF,10/12/2012 12:00,8.24
HBF,10/12/2012 12:15,8.4
HBF,10/12/2012 12:30,8.39
HBF,10/12/2012 12:45,8.32
HBF,10/12/2012 13:00,8.32
HBF,10/12/2012 13:15,8.26
